id,name,ms_id,distance,time_minute,ton_price,created_at,updated_at,km_fact,найдено,locality,region,type,population,coords,source,sourceID,route
223,Дорожное 78 км Джанкойский,a65af55a-5c8e-11ea-0a80-052c001d8a32,78,94,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дорожное,Джанкойский,посёлок,7,"45.653081,34.4511611",geocode,,83.03
224,Доходное 57 км Красногвардейский,a65af6ae-5c8e-11ea-0a80-052c001d8a33,57,69,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Доходное,Красногвардейский,село,155,"45.4818283,34.3845934",geocode,,63.36
225,Дрофино 63 км Нижнегорский,a65af7ea-5c8e-11ea-0a80-052c001d8a34,63,76,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дрофино,Нижнегорский,село,779,"45.285282,34.616928",yandex,176944,55.2
226,Дружное 45 км Симферопольский,a65af975-5c8e-11ea-0a80-052c001d8a35,45,54,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дружное,Симферопольский,село,169,"44.896416,34.2932506",geocode,,16.24
227,Дубки 25 км Симферопольский,a65afad5-5c8e-11ea-0a80-052c001d8a36,25,39,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дубки,Симферопольский,село,2256,"44.937412,34.024277",yandex,216361,6.1
228,Дубровка 45 км Бахчисарайский,a65afc3f-5c8e-11ea-0a80-052c001d8a37,45,54,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дубровка,Бахчисарайский,село,494,"44.9145154,33.8384699",geocode,,20.95
229,Дубровка 62 км Джанкойский,a65aff75-5c8e-11ea-0a80-052c001d8a38,62,75,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дубровка,Джанкойский,посёлок,40,"45.5682029,34.3208447",geocode,,71.06
230,Дубровское 42 км Красногвардейский,a65b0299-5c8e-11ea-0a80-052c001d8a39,42,51,,2024-03-04 20:23:01,2024-03-04 20:23:01,0,да,Дубровское,Красногвардейский,село,672,"45.3910273,34.1207156",geocode,,49.26
231,Дятловка 115 км Советский,a65b056d-5c8e-11ea-0a80-052c001d8a3a,115,138,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Дятловка,Советский,село,6,"45.1789202,35.0516647",geocode,,78.99
232,Евпатория 67 км,a65b07b3-5c8e-11ea-0a80-052c001d8a3b,67,81,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,нет,Евпатория,,,,"45.19045,33.366867",geocode,,63.58
233,Егорово 229 км Ленинский,a65b09b8-5c8e-11ea-0a80-052c001d8a3c,229,275,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Егорово,Ленинский,посёлок,49,"45.3864352,36.4821855",geocode,,192.95
234,Еленовка 83 км Белогорский,a65b0bb6-5c8e-11ea-0a80-052c001d8a3d,83,100,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Еленовка,Белогорский,село,19,"44.9887912,34.8288667",geocode,,57.48
235,Еленовка 75 км Первомайский,a65b0db1-5c8e-11ea-0a80-052c001d8a3e,75,90,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Еленовка,Первомайский,село,267,"45.579697,34.049713",yandex,28200,70.32
236,Елизаветово 114 км Сакский,a65b0fdc-5c8e-11ea-0a80-052c001d8a3f,114,137,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Елизаветово,Сакский,село,726,"45.448757,33.356846",yandex,216345,80.56
237,Емельяновка 115 км Нижнегорский,a65b1284-5c8e-11ea-0a80-052c001d8a40,115,138,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Емельяновка,Нижнегорский,село,1381,"45.536110,34.901131",yandex,176945,90.56
238,Ермаково 94 км Джанкойский,a65b14ba-5c8e-11ea-0a80-052c001d8a41,94,113,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Ермаково,Джанкойский,село,909,"45.851315,34.490124",yandex,27580,104.91
239,Ерофеево 152 км Ленинский,a65b16cb-5c8e-11ea-0a80-052c001d8a42,152,183,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Ерофеево,Ленинский,село,129,"45.2051013,35.6540232",geocode,,125.28
240,Жаворонки 32 км Сакский,a65b184a-5c8e-11ea-0a80-052c001d8a43,32,39,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Жаворонки,Сакский,село,49,"45.0683098,33.7568317",geocode,,30.12
241,Железнодорожное 64 км Бахчисарайски,a65b199a-5c8e-11ea-0a80-052c001d8a44,64,77,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Железнодорожное,Бахчисарайский,село,970,"44.718285,33.802906",yandex,28587,34.69
242,Желтокаменка 75 км Сакский,a65b1b06-5c8e-11ea-0a80-052c001d8a45,75,90,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Желтокаменка,Сакский,село,428,"45.2712833,33.4524096",geocode,,62.25
243,Желябовка 92 км Нижнегорский,a65b1c6b-5c8e-11ea-0a80-052c001d8a46,92,111,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Желябовка,Нижнегорский,село,2669,"45.397129,34.756603",yandex,28588,71.67
244,Жемчужина 87 км Нижнегорский,a65b1de6-5c8e-11ea-0a80-052c001d8a47,87,105,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Жемчужина,Нижнегорский,село,971,"45.274902,34.658337",yandex,176946,56.89
245,Жемчужина Крыма 112 км Кировский,a65b1f2c-5c8e-11ea-0a80-052c001d8a48,112,135,,2024-03-04 20:23:02,2024-03-04 20:23:02,0,да,Жемчужина,Крыма кировский,село,265,"45.098740,35.187698",yandex,132130,87.07
246,Живописное 25 км Симферопольский,a65b2061-5c8e-11ea-0a80-052c001d8a49,25,30,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Живописное,Симферопольский,село,97,"45.0398796,34.1651225",geocode,,11.39
247,Жилино 92 км Джанкойский,a65b219c-5c8e-11ea-0a80-052c001d8a4a,92,111,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Жилино,Джанкойский,село,426,"45.7620039,34.2595616",geocode,,91.33
248,Журавки 116 км Кировский,a65b22d4-5c8e-11ea-0a80-052c001d8a4b,116,140,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Журавки,Кировский,село,2666,"45.128799,35.216007",yandex,117975,89.92
249,Журавлёвка 148 км Черноморский,a65b24d3-5c8e-11ea-0a80-052c001d8a4c,148,178,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Журавлёвка,Черноморский,село,145,"45.6385792,33.0723711",geocode,,111.15
250,Журавлёвка 10 км Симферопольский,a65b2651-5c8e-11ea-0a80-052c001d8a4d,10,12,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Журавлёвка,Симферопольский,село,1368,"45.176888,33.997612",yandex,177105,26.67
251,Журавли 47 км Сакский,a65b2792-5c8e-11ea-0a80-052c001d8a4e,47,57,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Журавли,Сакский,село,1475,"45.2526924,33.6434527",geocode,,49.31
252,Завет-Ленинский 95 км Джанкойский,a65b28fb-5c8e-11ea-0a80-052c001d8a4f,95,114,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Завет-ленинский,Джанкойский,село,2222,"45.866035,34.394066",yandex,176568,104.58
253,Заветное 230 км Ленинский,a65b2a45-5c8e-11ea-0a80-052c001d8a50,230,276,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Заветное,Ленинский,село,1175,"45.119507,36.394104",yandex,176907,181.22
254,Заветное 49 км Бахчисарайский,a65b2b87-5c8e-11ea-0a80-052c001d8a51,49,59,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Заветное,Бахчисарайский,село,472,"44.8392713,33.9067775",geocode,,19.47
255,Заветное 93 км Советский,a65b2ce1-5c8e-11ea-0a80-052c001d8a52,125,150,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Заветное,Советский,село,1628,"45.327541,34.809971",yandex,177256,69.83
256,Заводское 180 км Ленинский,a65b2e15-5c8e-11ea-0a80-052c001d8a53,180,216,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Заводское,Ленинский,село,211,"45.3465935,35.7315338",geocode,,135.36
257,Задорное 124 км Черноморский,a65b2f52-5c8e-11ea-0a80-052c001d8a54,124,149,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Задорное,Черноморский,село,59,"45.5743344,33.1720792",geocode,,100.61
258,Зайцево 127 км Черноморский,a65b30b4-5c8e-11ea-0a80-052c001d8a55,127,153,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Зайцево,Черноморский,село,96,"45.5395518,32.8832284",geocode,,115.75
259,Залесное 76 км Бахчисарайский,a65b31f2-5c8e-11ea-0a80-052c001d8a56,76,92,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Залесное,Бахчисарайский,село,285,"44.6238647,33.7853693",geocode,,43.8
260,Залесье 35 км Симферопольский,a65b3357-5c8e-11ea-0a80-052c001d8a57,35,42,,2024-03-04 20:23:03,2024-03-04 20:23:03,0,да,Залесье,Симферопольский,село,1063,"44.8857896,34.1025629",geocode,,6.95
261,Заливное 113 км Нижнегорский,a65b34c3-5c8e-11ea-0a80-052c001d8a58,113,136,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заливное,Нижнегорский,село,72,"45.5755128,34.8690934",geocode,,92.1
262,Заозёрное 76 км Евпатория,a65b3609-5c8e-11ea-0a80-052c001d8a59,76,92,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заозёрное,Евпатория,пгт,4332,"45.1589174,33.279292",geocode,,68.61
263,Запрудное 90 км Алушта,a65b376b-5c8e-11ea-0a80-052c001d8a5a,90,108,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Запрудное,Алушта,село,788,"44.5932625,34.3189904",geocode,,43.07
264,Заречное 41 км Симферопольский,a65b38be-5c8e-11ea-0a80-052c001d8a5b,46,56,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заречное,Симферопольский,село,2022,"44.8595197,34.2763942",geocode,,17.02
265,Заречное 38 км Красногвардейский,a65b3a15-5c8e-11ea-0a80-052c001d8a5c,38,46,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заречное,Красногвардейский,село,171,"45.3014097,34.2830665",geocode,,41.8
266,Заречное 84 км Джанкойский,a65b3b51-5c8e-11ea-0a80-052c001d8a5d,84,101,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заречное,Джанкойский,село,1820,"45.735004,34.484688",yandex,176569,92.49
267,Заречье 97 км Нижнегорский,a65b3c8b-5c8e-11ea-0a80-052c001d8a5e,97,117,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заречье,Нижнегорский,село,779,"45.3611845,34.7118771",geocode,,66.38
268,Заря 69 км Красногвардейский,a65b3e1c-5c8e-11ea-0a80-052c001d8a5f,69,83,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Заря,Красногвардейский,село,175,"45.504498, 34.521924",geocode,,70.1
269,Затишное 214 км Ленинский,a65b3f6a-5c8e-11ea-0a80-052c001d8a60,214,257,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Затишное,Ленинский,село,153,"45.3739645,36.1730842",geocode,,169.24
270,Звёздное 27 км Красногвардейский,a65b40a5-5c8e-11ea-0a80-052c001d8a61,27,33,,2024-03-04 20:23:04,2024-03-04 20:23:04,0,да,Звёздное,Красногвардейский,село,219,"45.2828642,34.0707066",geocode,,37.28
271,Зелёная Нива 108 км Красноперекопск,a65b41ed-5c8e-11ea-0a80-052c001d8a62,108,130,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зелёная,Нива красноперекопский,село,584,"45.933582,33.893291",yandex,216331,110.73
272,Зеленогорское 57 км Белогорский,a65b4327-5c8e-11ea-0a80-052c001d8a63,57,69,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зеленогорское,Белогорский,село,1877,"45.011696,34.469360",yandex,176505,29.87
273,Зеленогорье 148 км Алушта,a65b4461-5c8e-11ea-0a80-052c001d8a64,148,178,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зеленогорье,Алушта,село,231,"44.676383,34.41005",geocode,,38.86
274,Зелёное 92 км Бахчисарайский,a65b4594-5c8e-11ea-0a80-052c001d8a65,92,111,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зелёное,Бахчисарайский,село,280,"44.595753,34.012051",yandex,176432,39.8
275,Зелёное 88 км Нижнегорский,a65b46c5-5c8e-11ea-0a80-052c001d8a66,88,106,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зелёное,Нижнегорский,село,941,"45.465431,34.734982",yandex,216339,76.01
276,Зелёный Яр 103 км Джанкойский,a65b4897-5c8e-11ea-0a80-052c001d8a67,103,124,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зелёный,Яр джанкойский,село,129,"45.8970007,34.3588635",geocode,,107.4
277,Зелёный Яр 200 км Ленинский,a65b49dc-5c8e-11ea-0a80-052c001d8a68,200,240,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зелёный,Яр ленинский,село,34,"45.3436348,35.9849139",geocode,,154.18
278,Земляничное 85 км Белогорский,a65b4bb1-5c8e-11ea-0a80-052c001d8a69,85,102,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Земляничное,Белогорский,село,660,"44.972462,34.834538",yandex,176506,57.82
279,Зерновое 27 км Сакский,a65b4cfa-5c8e-11ea-0a80-052c001d8a6a,27,33,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зерновое,Сакский,село,944,"45.288841,33.864159",yandex,177069,42.16
280,Зерновое 58 км Красногвардейский,a65b4e3c-5c8e-11ea-0a80-052c001d8a6b,58,70,,2024-03-04 20:23:05,2024-03-04 20:23:05,0,да,Зерновое,Красногвардейский,село,1023,"45.324631,34.483089",yandex,176628,51.5
281,Зерновое 86 км Джанкойский,a65b4f73-5c8e-11ea-0a80-052c001d8a6c,86,104,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зерновое,Джанкойский,село,627,"45.629845,34.142948",yandex,216281,75.85
282,Зимино 84 км Раздольненский,a65b50ad-5c8e-11ea-0a80-052c001d8a6d,84,101,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зимино,Раздольненский,село,1000,"45.508503,33.514713",yandex,177046,77.35
283,Знаменка 94 км Красноперекопский,a65b51e4-5c8e-11ea-0a80-052c001d8a6e,94,113,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Знаменка,Красноперекопский,село,3,"45.9891985,33.7672838",geocode,,118.61
284,Знаменка 57 км Красногвардейский,a65b5366-5c8e-11ea-0a80-052c001d8a6f,57,69,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Знаменка,Красногвардейский,село,474,"45.5447261,34.3486234",geocode,,69.11
285,Знаменское 127 км Черноморский,a65b54a2-5c8e-11ea-0a80-052c001d8a70,127,153,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Знаменское,Черноморский,село,150,"45.3808122,32.8941191",geocode,,106.08
286,Золотое 208 км Ленинский,a65b55d5-5c8e-11ea-0a80-052c001d8a71,208,250,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Золотое,Ленинский,село,140,"45.427825,36.0771648",geocode,,163.82
287,Золотое 58 км Красногвардейский,a65b570f-5c8e-11ea-0a80-052c001d8a72,58,70,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Золотое,Красногвардейский,село,48,"45.2793661,34.5390136",geocode,,50.4
288,Золотое Поле 98 км Кировский,a65b5840-5c8e-11ea-0a80-052c001d8a73,98,118,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Золотое,Поле кировский,село,2543,"45.126724,34.992634",yandex,132131,72.86
289,Зоркино 91 км Нижнегорский,a65b5978-5c8e-11ea-0a80-052c001d8a74,91,110,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зоркино,Нижнегорский,село,1099,"45.548000,34.709438",yandex,176947,81.97
290,Зоряное 119 км Черноморский,a65b5aaf-5c8e-11ea-0a80-052c001d8a75,119,143,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зоряное,Черноморский,село,351,"45.594243,33.0684967",geocode,,108.06
291,Зубакино 51 км Бахчисарайский,a65b5bd9-5c8e-11ea-0a80-052c001d8a76,51,62,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зубакино,Бахчисарайский,село,144,"44.8646194,33.8916501",geocode,,18.88
292,Зуя 39 км Белогорский,a65b5d21-5c8e-11ea-0a80-052c001d8a77,39,47,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зуя,Белогорский,пгт,6230,"45.054367,34.316399",yandex,27452,20.68
293,Зыбины 84 км Белогорский,a65b5e59-5c8e-11ea-0a80-052c001d8a78,84,101,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Зыбины,Белогорский,село,1220,"45.238659,34.645859",yandex,176508,53.63
294,Ивановка 206 км Ленинский,a65b5fb3-5c8e-11ea-0a80-052c001d8a79,206,248,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Ивановка,Ленинский,село,160,"45.289129,36.2852443",geocode,,175.55
295,Ивановка 40 км Симферопольский,a65b60ef-5c8e-11ea-0a80-052c001d8a7a,40,48,,2024-03-04 20:23:06,2024-03-04 20:23:06,0,да,Ивановка,Симферопольский,село,899,"44.9394234,34.2537431",geocode,,12.11
296,Ивановка 45 км Сакский,a65b6229-5c8e-11ea-0a80-052c001d8a7b,45,54,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Ивановка,Сакский,село,2055,"45.070004,33.660995",yandex,177070,37.09
297,Ивановка 94 км Нижнегорский,a65b635f-5c8e-11ea-0a80-052c001d8a7c,94,113,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Ивановка,Нижнегорский,село,400,"45.375912,34.722141",yandex,176948,68.1
298,Игоревка 31 км Сакский,a65b648f-5c8e-11ea-0a80-052c001d8a7d,31,38,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Игоревка,Сакский,село,0,"45.1618964,33.838463",geocode,,31.42
299,Известковое 54 км Красногвардейский,a65b65ca-5c8e-11ea-0a80-052c001d8a7e,54,65,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Известковое,Красногвардейский,село,274,"45.482853,33.9981353",geocode,,59.98
300,Известковое 81 км Сакский,a65b6756-5c8e-11ea-0a80-052c001d8a7f,81,98,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Известковое,Сакский,село,88,"45.3337626,33.3206889",geocode,,74.67
301,Изобильное 114 км Кировский,a65b6898-5c8e-11ea-0a80-052c001d8a80,114,137,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Изобильное,Кировский,село,233,"45.110638,35.201851",yandex,28656,88.42
302,Изобильное 119 км Нижнегорский,a65b69da-5c8e-11ea-0a80-052c001d8a81,119,143,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Изобильное,Нижнегорский,село,972,"45.569969,34.945255",yandex,28657,95.66
303,Изобильное 70 км Алушта,a65b6b15-5c8e-11ea-0a80-052c001d8a82,70,84,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Изобильное,Алушта,село,2333,"44.7008417,34.3557301",geocode,,34.09
304,Изумрудное 80 км Джанкойский,a65b6c57-5c8e-11ea-0a80-052c001d8a83,80,96,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Изумрудное,Джанкойский,село,1905,"45.735924,34.411777",yandex,176570,90.89
305,Изюмовка 110 км Кировский,a65b6dbb-5c8e-11ea-0a80-052c001d8a84,110,132,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Изюмовка,Кировский,село,1128,"45.043083,35.133320",yandex,132132,81.9
306,Ильинка 85 км Красноперекопский,a65b6efb-5c8e-11ea-0a80-052c001d8a85,85,102,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Ильинка,Красноперекопский,село,1140,"45.819725,33.793003",yandex,176675,99.82
307,Ильинка 44 км Сакский,a65b703c-5c8e-11ea-0a80-052c001d8a86,44,53,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Ильинка,Сакский,село,816,"45.3730244,33.7809897",geocode,,53.45
308,Ильичёво 117 км Советский,a65b7195-5c8e-11ea-0a80-052c001d8a87,117,141,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Ильичёво,Советский,село,938,"45.244881,35.070992",yandex,29276,83.01
309,Ильичёво 166 км Ленинский,a65b735b-5c8e-11ea-0a80-052c001d8a88,166,200,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Ильичёво,Ленинский,село,1836,"45.284515,35.740570",yandex,176908,134.01
310,Искра 29 км Красногвардейский,a65b749b-5c8e-11ea-0a80-052c001d8a89,29,35,,2024-03-04 20:23:07,2024-03-04 20:23:07,0,да,Искра,Красногвардейский,село,143,"45.2637414,34.1817687",geocode,,35.66
311,Источное 106 км Джанкойский,a65b7882-5c8e-11ea-0a80-052c001d8a8a,106,128,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Источное,Джанкойский,село,192,"45.818565,34.1363619",geocode,,96.8
312,Источное 110 км Красноперекопский,a65b79de-5c8e-11ea-0a80-052c001d8a8b,110,132,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Источное,Красноперекопский,село,723,"45.900879,34.019318",yandex,216332,106.1
313,Ишунь 97 км Красноперекопский,a65b7b42-5c8e-11ea-0a80-052c001d8a8c,97,117,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Ишунь,Красноперекопский,село,2913,"45.922909,33.825947",yandex,28671,110.46
314,Казанки 40 км Бахчисарайский,a65b7ca4-5c8e-11ea-0a80-052c001d8a8d,40,48,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Казанки,Бахчисарайский,село,358,"44.8705273,33.9305011",geocode,,15.92
315,Калинино 68 км Красногвардейский,a65b7de2-5c8e-11ea-0a80-052c001d8a8e,68,82,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Калинино,Красногвардейский,село,1120,"45.591152,34.223846",yandex,176629,72.13
316,Калинино 78 км Первомайский,a65b7f5c-5c8e-11ea-0a80-052c001d8a8f,78,94,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Калинино,Первомайский,село,1640,"45.744011,33.777031",yandex,177007,92.01
317,Калиновка 140 км Черноморский,a65b80a3-5c8e-11ea-0a80-052c001d8a90,140,168,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Калиновка,Черноморский,село,737,"45.486519,32.686218",yandex,27778,125.88
318,Калиновка 175 км Ленинский,a65b81f4-5c8e-11ea-0a80-052c001d8a91,175,210,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Калиновка,Ленинский,село,2278,"45.319885,35.743462",yandex,27777,135.33
319,Калиновка 86 км Джанкойский,a65b8329-5c8e-11ea-0a80-052c001d8a92,86,104,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Калиновка,Джанкойский,село,853,"45.748497,34.332298",yandex,27776,90.8
320,Каменка 91 км Первомайский,a65b84b0-5c8e-11ea-0a80-052c001d8a93,91,110,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Каменка,Первомайский,село,171,"45.6461351,33.8381057",geocode,,80.26
321,Каменоломня 69 км Сакский,a65b860a-5c8e-11ea-0a80-052c001d8a94,69,83,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Каменоломня,Сакский,село,1804,"45.247707,33.421848",yandex,216350,62.8
322,Каменское 162 км Ленинский,a65b873c-5c8e-11ea-0a80-052c001d8a95,162,195,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Каменское,Ленинский,село,254,"45.281048,35.525505",yandex,27802,117.78
323,Камышинка 36 км Симферопольский,a65b8950-5c8e-11ea-0a80-052c001d8a96,36,44,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Камышинка,Симферопольский,село,127,"44.894245,33.9475286",geocode,,13.44
324,Камышное 99 км Раздольненский,a65b8c2d-5c8e-11ea-0a80-052c001d8a97,99,119,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Камышное,Раздольненский,село,345,"45.7924559,33.6774476",geocode,,99.5
325,Карасёвка 70 км Белогорский,a65b8e65-5c8e-11ea-0a80-052c001d8a98,70,84,,2024-03-04 20:23:08,2024-03-04 20:23:08,0,да,Карасёвка,Белогорский,село,174,"44.9948964,34.6045614",geocode,,40
326,Карпова Балка 119 км Красноперекопс,a65b9098-5c8e-11ea-0a80-052c001d8a99,119,143,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Карпова,Балка красноперекопский,село,54,"46.0601076,33.8069941",geocode,,125.71
327,Карповка 70 км Красногвардейский,a65b92c0-5c8e-11ea-0a80-052c001d8a9a,70,84,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Карповка,Красногвардейский,село,867,"45.523842,34.079872",yandex,216289,64.02
328,Карьерное 62 км Сакский,a65b954c-5c8e-11ea-0a80-052c001d8a9b,62,75,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Карьерное,Сакский,село,994,"45.289204,33.609577",yandex,216344,54.03
329,Кацивели 109 км Ялта,a65b9750-5c8e-11ea-0a80-052c001d8a9c,109,131,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Кацивели,Ялта,пгт,541,"44.3934152,33.9715074",geocode,,62.52
330,Каштановка 109 км Раздольненский,a65b99cb-5c8e-11ea-0a80-052c001d8a9d,109,131,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Каштановка,Раздольненский,село,43,"45.615887,33.3600307",geocode,,94.15
331,Каштановка 41 км Первомайский,a65b9c44-5c8e-11ea-0a80-052c001d8a9e,41,50,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Каштановка,Первомайский,село,332,"45.434521,33.886993",yandex,216340,56.59
332,Каштановое 48 км Симферопольский,a65b9ed0-5c8e-11ea-0a80-052c001d8a9f,48,58,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Каштановое,Симферопольский,село,1028,"44.828922,34.056561",yandex,132139,13.71
333,Каштаны 60 км Бахчисарайский,a65ba0d6-5c8e-11ea-0a80-052c001d8aa0,60,72,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Каштаны,Бахчисарайский,село,862,"44.866722,33.784782",yandex,176433,26.45
334,Керчь 220 км,a65ba2dc-5c8e-11ea-0a80-052c001d8aa1,220,264,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,нет,Керчь,,,,"45.357314,36.468293",geocode,,191.14
335,Кизиловка 73 км Белогорский,a65ba4fc-5c8e-11ea-0a80-052c001d8aa2,73,88,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Кизиловка,Белогорский,село,76,"45.0017894,34.6781705",geocode,,45.84
336,Кизиловое 48 км Симферопольский,a65baa2c-5c8e-11ea-0a80-052c001d8aa3,48,58,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Кизиловое,Симферопольский,село,680,"44.821873,34.044228",yandex,216358,14.73
337,Кипарисное 84 км Алушта,a65baca9-5c8e-11ea-0a80-052c001d8aa4,84,101,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Кипарисное,Алушта,село,434,"44.6017946,34.3512935",geocode,,43.31
338,Кирово 172 км Ленинский,a65baf0a-5c8e-11ea-0a80-052c001d8aa5,172,207,,2024-03-04 20:23:09,2024-03-04 20:23:09,0,да,Кирово,Ленинский,село,807,"45.222382,35.848053",yandex,176909,140.54
